"Tidstämpel","Har du körtkort?","Äger du en bil?","Om ja, vilken årsmodell?","När du eller anhörig tankade diesel senast, vad var det för pris då? Svara endast med siffror."
"2022/03/21 2:20:41 em CET","Ja","Nej","","24"
"2022/03/21 2:20:49 em CET","Ja","Ja","2009","24,09"
"2022/03/21 2:20:52 em CET","Ja","Ja","2021","24,48"
"2022/03/21 2:22:16 em CET","Nej","Nej","","28.55"
"2022/03/21 2:23:11 em CET","Ja","Ja","2013","21.00"
"2022/03/21 2:23:30 em CET","Ja","Ja","2003","20"
"2022/03/21 2:23:32 em CET","Nej","Ja","2017","0"
"2022/03/21 2:25:09 em CET","Nej","Nej","","24,92"
"2022/03/21 2:34:16 em CET","Ja","Ja","2022","25"
"2022/03/21 2:44:05 em CET","Ja","Nej","","Oj sånt har jag inte koll på"
"2022/03/21 2:44:42 em CET","Ja","Nej","","0"
"2022/03/21 3:34:43 em CET","Ja","Ja","2020","27"
"2022/03/21 6:29:08 em CET","Ja","Nej","Cykel, från secondhand. Är min bästa kompis","Ingen aning, jag sa att jag cyklar"
"2022/03/21 7:46:19 em CET","Ja","Ja","2008","23"
"2022/03/21 10:50:26 em CET","Ja","Nej","","20"
"2022/03/22 8:23:26 fm CET","Ja","Nej","","Vet inte"
"2022/03/22 8:52:44 fm CET","Ja","Ja","2016","25,4"
"2022/03/22 11:40:46 fm CET","Ja","Ja","Två tusen två","Tjugofem"